id,track_name,artist_names,cluster,playlist_name
00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",2,Chill Vibe
00imgaPlYRrMGn9o83hfmk,LOOSE CHANGE,Brent Faiyaz,2,Chill Vibe
01K4zKU104LyJ8gMb7227B,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"Taylor Swift, Phoebe Bridgers",2,Chill Vibe
01z2fBGB8Hl3Jd3zXe4IXR,Come Back to Earth,Mac Miller,2,Chill Vibe
02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,Calum Scott,2,Chill Vibe
03rwnftfgpYVO6QDWOZcG6,Drew A Picasso,Drake,2,Chill Vibe
03vyB3AHCuEGfhh7wPc7Yf,When You're Ready,Shawn Mendes,2,Chill Vibe
03wOsqNRdFZAgwo708sjw2,Say Yes To Heaven,Lana Del Rey,2,Chill Vibe
042Sl6Mn83JHyLEqdK7uI0,Your Power,Billie Eilish,2,Chill Vibe
044qU7kwVZaDwzWnRsmVVL,I Dare You,The xx,2,Chill Vibe
04sN26COy28wTXYj3dMoiZ,Bored,Billie Eilish,2,Chill Vibe
05X6aMCQR09E6smUmw9qms,Thank God It's Christmas - Non-Album Single,Queen,2,Chill Vibe
05bnEv2dpFzmGVLGdjD9UP,Orlando,XXXTENTACION,2,Chill Vibe
06GcodDliPWAYFX2LSFLIu,Vertigo,Khalid,2,Chill Vibe
08fa9LFcFBTcilB3iq2e2A,epiphany,Taylor Swift,2,Chill Vibe
09nSCeCs6eYfAIJVfye1CE,Oye,"TINI, Sebastian Yatra",2,Chill Vibe
0A1JLUlkZkp2EFrosoNQi0,Labyrinth,Taylor Swift,2,Chill Vibe
0AYt6NMyyLd0rLuvr0UkMH,Slime You Out (feat. SZA),"Drake, SZA",2,Chill Vibe
0AaV4MJrgmLV3XhoiWXjjb,evermore (feat. Bon Iver),"Taylor Swift, Bon Iver",2,Chill Vibe
0AluA5RNsa4Cx6XRhf2hWZ,10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage",2,Chill Vibe
0B7wvvmu9EISAwZnOpjhNI,When I Was Your Man,Bruno Mars,2,Chill Vibe
0CZ8lquoTX2Dkg7Ak2inwA,1950,King Princess,2,Chill Vibe
0D8ZpOXVjapLXrjz5VfZSD,Pray,Sam Smith,2,Chill Vibe
0DuWDLjriRPjDRoPgaCslY,Love In The Dark,Adele,2,Chill Vibe
0E4Y1XIbs8GrAT1YqVy6dq,Afterglow,Ed Sheeran,2,Chill Vibe
0FfqyjhB6Kspvit1oOo7ax,GOLDWING,Billie Eilish,2,Chill Vibe
