id,track_name,artist_names,cluster,playlist_name
000xQL6tZNLJzIrtIgxqSl,Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR",0,"Dark, Intense Vibe"
003eoIwxETJujVWmNFMoZy,Growing Pains,Alessia Cara,0,"Dark, Intense Vibe"
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,0,"Dark, Intense Vibe"
00ETaeHUQ6lops3oWU1Wrt,Hot Stuff,"Kygo, Donna Summer",0,"Dark, Intense Vibe"
00gpGR84M27moP7AFuqHIx,Bounce Out With That,YBN Nahmir,0,"Dark, Intense Vibe"
00ko9WaS4jOX1kEk3gvHjf,Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby",0,"Dark, Intense Vibe"
00syWkRGIVQvYsg2OwfBUw,East Side of Sorrow,Zach Bryan,0,"Dark, Intense Vibe"
01Qb6dN5suQNu87VJ1mIpf,Did It Again,Lil Tecca,0,"Dark, Intense Vibe"
01TnVDiet1DFTsyWKUKovl,NUMB,XXXTENTACION,0,"Dark, Intense Vibe"
01ppKlDRCmPpusO3yNrSRY,TELEFONO NUEVO,"Bad Bunny, Luar La L",0,"Dark, Intense Vibe"
01uk7IzZyFNfQTDBXxx6NB,One Last Song,Sam Smith,0,"Dark, Intense Vibe"
01vR5Z7AHinp9D2wu2BNQS,UP IN SMOKE,RIN,0,"Dark, Intense Vibe"
01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots,0,"Dark, Intense Vibe"
020wG4EHTwBy5h2rbpxqvK,SUPREME - L'ego,"Marracash, thasup, Sfera Ebbasta",0,"Dark, Intense Vibe"
0247StOpd3AkeBQzANX4Zf,Do They Know It's Christmas? - 1984 Version,Band Aid,0,"Dark, Intense Vibe"
02LZ1fGJE8fB56yTlCVMEV,Switch,"Iggy Azalea, Anitta",0,"Dark, Intense Vibe"
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,0,"Dark, Intense Vibe"
02RCbjb9czvQKNGBmEmWob,Woah,Lil Baby,0,"Dark, Intense Vibe"
02jLfqc9gMo8PkHEGHY3OT,Si Te La Encuentras Por Ahí,Feid,0,"Dark, Intense Vibe"
02kDW379Yfd5PzW5A6vuGt,Lemonade (feat. NAV),"Internet Money, Gunna, Don Toliver, NAV",0,"Dark, Intense Vibe"
0314PeD1sQNonfVWix3B2K,ENERGY (feat. Beam),"Beyoncé, BEAM",0,"Dark, Intense Vibe"
03B2SfXuvDh1m9F4tqrX07,Skin,Sabrina Carpenter,0,"Dark, Intense Vibe"
03T4ttRCiLXST6MZjeMwmR,Orphans,Coldplay,0,"Dark, Intense Vibe"
03hqMhmCZiNKMSPmVabPLP,Groupie Love (feat. A$AP Rocky),"Lana Del Rey, A$AP Rocky",0,"Dark, Intense Vibe"
045ZeOHPIzhxxsm8bq5kyE,Out Of The Woods (Taylor's Version),Taylor Swift,0,"Dark, Intense Vibe"
