id,track_name,artist_names,cluster,playlist_name
00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),"Cardi B, Chance the Rapper",1,Party Feel-Good Vibe
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),"Post Malone, The Weeknd",1,Party Feel-Good Vibe
00EPIEnX1JFjff8sC6bccd,No Me Acuerdo,"Thalia, NATTI NATASHA",1,Party Feel-Good Vibe
00lNx0OcTJrS3MKHcB80HY,You Don't Know Me (feat. RAYE),"Jax Jones, RAYE",1,Party Feel-Good Vibe
00rxTS5TKv3oXpDA6nWfBi,Maria Mariah,"KZA Produções, wonda",1,Party Feel-Good Vibe
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,1,Party Feel-Good Vibe
01DOm09B2AbiTARAbXVI6g,CHopstix (feat. Travis Scott),"ScHoolboy Q, Travis Scott",1,Party Feel-Good Vibe
01dmH2IPkrLNWIMPNXlreE,Paradise,BTS,1,Party Feel-Good Vibe
01hEpx8jnOG4q7nDK14Rhi,malibu,sangiovanni,1,Party Feel-Good Vibe
01k24g94i1JvkFLQmVEdCd,If You're Over Me,Olly Alexander (Years & Years),1,Party Feel-Good Vibe
01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",1,Party Feel-Good Vibe
021lWIHJrURZrmvYQ1xcM8,All Bad (feat. Lil Uzi Vert),"Future, Lil Uzi Vert",1,Party Feel-Good Vibe
02FaKXXL7KUtRc7K0k54tL,Cozy Little Christmas,Katy Perry,1,Party Feel-Good Vibe
02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",1,Party Feel-Good Vibe
02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),"R3HAB, A Touch Of Class",1,Party Feel-Good Vibe
02wk5BttM0QL38ERjLPQJB,Cool With You,NewJeans,1,Party Feel-Good Vibe
033if6Adj8fwBYsQzHOfQ8,100k Cash,"Capital Bra, Samra",1,Party Feel-Good Vibe
03LfOYi0icz4souspZVVhq,"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam",1,Party Feel-Good Vibe
03NqHNdG3Ur6kciQWK6e8V,Oh Na Na,"Camila Cabello, Myke Towers, Tainy",1,Party Feel-Good Vibe
03eJ2DclFWXYU8GWgANdmZ,bad vibes forever (feat. PnB Rock & Trippie Redd),"XXXTENTACION, PnB Rock, Trippie Redd",1,Party Feel-Good Vibe
